id;category;genus;fr_word;fr_sentence;de_word;de_sentence
1;verb;;s'inscrire;Je vais m'inscrire à un cours de français.;sich anmelden;Ich melde mich zu einem Französischkurs an.
2;noun;f.;une manifestation;Il y avait une manifestation dans la rue principale.;eine Demonstration;In der Hauptstraße gab es eine Demo.
3;verb;;désinfecter;Il faut désinfecter la plaie.;desinfizieren;Man muss die Wunde desinfizieren.
4;noun;m.;le frigidaire;Le frigidaire est plein de légumes.;der Kühlschrank;Der Kühlschrank ist voller Gemüse.
5;noun;m.;le camping;Nous faisons du camping près du lac.;Camping;Wir machen Camping am See.
6;noun;m.;le sac de couchage;J’ai oublié mon sac de couchage.;der Schlafsack;Ich habe meinen Schlafsack vergessen.
7;adjective;;viticole;C’est une région viticole.;weinbau-;Das ist eine Weinbauregion.
8;verb;;faire des randonnées;Nous aimons faire des randonnées en montagne.;wandern;Wir gehen gern in den Bergen wandern.
9;verb;;randonner;On peut randonner dans le parc naturel.;wandern;Man kann im Naturpark wandern.
10;noun;m.;le dénivelé;Au cours de leur randonnée, ils ont parcouru un bon nombre de mètres de dénivelé.;der Höhenunterschied;Während ihrer Wanderung haben sie ordentlich Höhenmeter gemacht.
11;noun;f.;une chapelle;Nous avons visité une petite chapelle.;eine Kapelle;Wir haben eine kleine Kapelle besichtigt.
12;expression;;en Bavière;J’habite en Bavière.;in Bayern;Ich wohne in Bayern.
13;noun;f.;une station thermale;Cette ville est une station thermale célèbre.;ein Kurort;Diese Stadt ist ein bekannter Kurort.
14;verb;;aller en cure;Ma grand-mère est allée en cure.;zur Kur fahren;Meine Oma ist zur Kur gefahren.
15;adjective;;crevant;Le voyage était crevant.;erschöpfend;Die Reise war anstrengend/erschöpfend.
16;adjective;;fatiguant;C’est un travail très fatiguant.;ermüdend;Das ist eine sehr ermüdende Arbeit.
17;adjective;;dur;L’examen était très dur.;schwer, hart;Die Prüfung war sehr schwer.
18;noun;m.;le rôle;Il a joué un rôle important.;die Rolle;Er hat eine wichtige Rolle gespielt.
19;adjective;;dégoûtant;Ce repas est dégoûtant.;ekelhaft;Dieses Essen ist ekelhaft.
20;noun;f.;une colline;La maison est sur une colline.;ein Hügel;Das Haus liegt auf einem Hügel.
21;noun;f.;une sacoche;Il porte une sacoche en cuir.;eine Umhängetasche;Er trägt eine Ledertasche.
22;noun;mpl.;les bagages (m.pl.);J’ai perdu mes bagages à l’aéroport.;das Gepäck;Ich habe mein Gepäck am Flughafen verloren.
23;verb;;pousser (un vélo);Il a dû pousser son vélo en montée.;ein Fahrrad schieben;Er musste sein Rad bergauf schieben.
24;verb;;rouler;La voiture roule vite.;fahren, rollen;Das Auto fährt schnell.
25;noun;m.;le frein;Le frein de mon vélo ne marche pas.;die Bremse;Meine Fahrradbremse funktioniert nicht.
26;noun;m.;un casque;Il faut porter un casque à vélo.;ein Helm;Beim Radfahren muss man einen Helm tragen.
27;noun;f.;une casquette;Il porte une casquette bleue.;eine Kappe;Er trägt eine blaue Kappe.
28;adjective;;lourd;Ce sac est très lourd.;schwer;Diese Tasche ist sehr schwer.
29;adjective;;léger;Ce tissu est très léger.;leicht;Dieser Stoff ist sehr leicht.
30;noun;f.;une borne;Nous avons trouvé une borne kilométrique.;ein Kilometerstein;Wir haben einen Kilometerstein gefunden.
31;noun;m.;un aménagement;Les aménagements du parc sont modernes.;eine Anlage, ein Ausbau;Die Anlagen des Parks sind modern.
32;noun;m.;l’estuaire (m.);L’estuaire de la Loire est magnifique.;die Mündung;Die Mündung der Loire ist wunderschön.
33;expression;;en Grèce;Je vais en Grèce cet été.;in Griechenland;Ich fahre diesen Sommer nach Griechenland.
34;adjective;;grec/grecque;Elle est grecque.;griechisch;Sie ist Griechin.
35;noun;f.;la mer Baltique;Nous passons nos vacances à la mer Baltique.;die Ostsee;Wir machen Urlaub an der Ostsee.
36;expression;;être en rénovation;Le musée est en rénovation.;renoviert werden;Das Museum wird gerade renoviert.
37;noun;f.;la marzipan (pâte);La pâte de marzipan est sucrée.;das Marzipan;Marzipanmasse ist süß.
