lesson;id;category;fr_word;fr_genus;fr_needs_vowel_article;fr_sentence;de_word;de_genus;de_sentence
2;1;expression;au fil des années;;;Au fil des années, ils sont devenus amis.;im Lauf der Jahre;;Im Lauf der Jahre sind sie Freunde geworden.
2;2;verbe;vous étiez;;;Vous étiez en vacances quand je vous ai appelé.;ihr wart / Sie waren;;Ihr wart im Urlaub, als ich euch anrief.
2;3;expression;en Croatie;;;Nous passons nos vacances en Croatie.;in Kroatien;;Wir verbringen unsere Ferien in Kroatien.
2;4;nom;maison de vacances;f.;false;Nous louons une maison de vacances près de la mer.;Ferienhaus;n.;Wir mieten ein Ferienhaus am Meer.
2;5;nom;attente;f.;true;Son attente d’une réponse rapide a été déçue.;Erwartung;f.;Seine Erwartung auf eine schnelle Antwort wurde enttäuscht.
2;6;nom;réderie;f.;false;La réderie d’Amiens attire de nombreux visiteurs.;Trödelmarkt (Normandie);m.;Der Flohmarkt von Amiens zieht viele Besucher an.
2;7;nom;braderie;f.;false;La braderie de Lille est très connue.;Trödelmarkt (Nordfrankreich);m.;Die Flohmarkt in Lille ist sehr bekannt.
2;8;nom;chiffre d’affaires;m.;false;Le chiffre d’affaires a augmenté de 10 %.;Umsatz;m.;Der Umsatz ist um 10 % gestiegen.
2;9;nom;cabas;m.;false;Elle apporte un cabas en toile au marché.;Einkaufstasche;f.;Sie bringt eine Einkaufstasche aus Stoff mit auf den Markt.
2;10;nom;tissu;m.;false;Le tissu de cette chemise est très doux.;Stoff;m.;Der Stoff dieses Hemdes ist sehr weich.
2;11;adjectif;brut;;;brut;roh, naturbelassen, trocken;;Ce vin est brut et sec.
2;12;nom;levure;f.;false;Il faut ajouter de la levure à la pâte.;Hefe;f.;Man muss dem Teig Hefe hinzufügen.
2;13;nom;biberon;m.;false;Le bébé boit son lait dans un biberon.;Fläschchen;n.;Das Baby trinkt seine Milch aus einem Fläschchen.
2;14;nom;remorque;f.;false;Il a attaché une remorque à sa voiture.;Anhänger;m.;Er hat einen Anhänger an sein Auto gehängt.
2;15;verbe;se débarrasser de qc.;;;Elle veut se débarrasser de ces vieux meubles.;etw. loswerden;;Sie will diese alten Möbel loswerden.
2;16;verbe;fondre;;;Le chocolat fond au soleil.;schmelzen;;Die Schokolade schmilzt in der Sonne.
2;17;nom;couvert;m.;false;Chaque invité a un couvert complet.;Besteck;n.;Zu jedem Gast gehört ein komplettes Besteck.
2;18;nom;argent;m.;true;L’argent est un métal précieux.;Silber;n.;Silber ist ein Edelmetall.
2;19;nom;argenterie;f.;true;Les couverts en argent sont rangés dans le tiroir.;Silberbesteck;n.;Das Silberbesteck liegt in der Schublade.
2;20;nom;fourchette;f.;false;Je n’ai pas de fourchette propre.;Gabel;f.;Ich habe keine saubere Gabel.
2;21;nom;couteau;m.;false;Le couteau n’est pas bien aiguisé.;Messer;n.;Das Messer ist nicht gut geschärft.
2;22;nom;cuillère;f.;false;Je prends une cuillère de sucre.;Löffel;m.;Ich nehme einen Löffel Zucker.
2;23;nom;dot;f.;false;Autrefois, la dot était courante dans les mariages.;Mitgift;f.;Früher war die Mitgift bei Hochzeiten üblich.
2;24;nom;porcelaine;f.;false;La porcelaine de Limoges est célèbre.;Porzellan;n.;Das Porzellan aus Limoges ist berühmt.
2;25;verbe;polir;;;Il faut polir l’argenterie pour qu’elle brille.;polieren;;Man muss das Silber polieren, damit es glänzt.
2;26;nom;lustre;m.;false;Un grand lustre éclaire la salle.;Kronleuchter;m.;Ein großer Kronleuchter erhellt den Saal.
2;27;adjectif;insolent;;;Cet enfant est insolent.;frech, respektlos;;Dieses Kind ist frech.
2;28;nom;perte;f.;false;La perte de son portefeuille l’a beaucoup inquiété.;Verlust;m.;Der Verlust seiner Brieftasche hat ihn sehr beunruhigt.
2;29;nom;début;m.;false;Le début du film est passionnant.;Anfang;m.;Der Anfang des Films ist spannend.
2;30;nom;faïence;f.;false;La faïence de Delft est très réputée.;Steingut;n.;Die Delfter Steingut ist sehr berühmt.
2;31;nom;vente aux enchères;f.;false;La vente aux enchères a eu lieu hier.;Auktion;f.;Die Auktion fand gestern statt.
2;32;verbe;sauvegarder;;;Je dois sauvegarder mes fichiers.;speichern;;Ich muss meine Dateien speichern.
2;33;nom;drap;m.;false;Les draps sont propres et frais.;Bettlaken;n.;Die Bettlaken sind sauber und frisch.
2;34;verbe;marchander;;;Il aime marchander les prix au marché.;feilschen;;Er feilscht gern um die Preise auf dem Markt.
2;36;nom;cigogne;f.;false;Une cigogne a niché sur le toit.;Storch;m.;Ein Storch hat auf dem Dach genistet.
2;37;verbe;faire la poussière;;;Je dois faire la poussière dans le salon.;Staub wischen;;Ich muss im Wohnzimmer Staub wischen.
2;38;nom;mouchoir;m.;false;Il a sorti un mouchoir de sa poche.;Taschentuch;n.;Er zog ein Taschentuch aus seiner Tasche.
2;38;nom;trousseau;m.;false;Elle a reçu un trousseau complet pour son mariage.;Aussteuer;f.;Sie hat zu ihrer Hochzeit eine komplette Aussteuer erhalten.
2;39;nom;nappe;f.;false;La nappe blanche est sur la table.;Tischdecke;f.;Die weiße Tischdecke liegt auf dem Tisch.
2;40;nom;tasse;f.;false;Je bois mon café dans une tasse.;Tasse;f.;Ich trinke meinen Kaffee aus einer Tasse.
