lesson;id;category;fr_word;fr_genus;fr_needs_vowel_article;fr_sentence;de_word;de_genus;de_sentence
3;1;verbe;traîner;;;Il aime simplement traîner le week-end.;herumhängen;;Er hängt am Wochenende einfach nur herum.
3;2;nom;bague;f.;false;Elle porte une bague en or.;Ring;m.;Sie trägt einen Goldring.
3;3;nom;scientifique;m.;false;Le scientifique étudie le climat.;Wissenschaftler;m.;Der Wissenschaftler untersucht das Klima.
3;4;nom;réchauffement climatique;m.;false;Le réchauffement climatique est une menace mondiale.;Erderwärmung;f.;Die Erderwärmung ist eine weltweite Bedrohung.
3;5;nom;changement climatique;m.;false;Le changement climatique affecte toute la planète.;Klimawandel;m.;Der Klimawandel betrifft den ganzen Planeten.
3;6;nom;inondation;f.;true;L’inondation a endommagé de nombreuses maisons.;Überschwemmung;f.;Die Überschwemmung hat viele Häuser beschädigt.
3;7;expression;dû à la;;;Les retards sont dûs à la pluie.;aufgrund von;;Die Verspätungen sind aufgrund des Regens.
3;8;nom;sécheresse;f.;false;La sécheresse dure depuis plusieurs mois.;Dürre;f.;Die Dürre hält seit mehreren Monaten an.
3;9;adjectif;sec / sèche;;;Le climat est très sec en été.;trocken;;Das Klima ist im Sommer sehr trocken.
3;10;nom;oiseau migrateur;m.;true;Un oiseau migrateur revient au printemps.;Zugvogel;m.;Ein Zugvogel kehrt im Frühling zurück.
3;11;nom;forêt mixte;f.;false;La région est couverte d’une forêt mixte.;Mischwald;m.;Die Region ist von einem Mischwald bedeckt.
3;12;nom;glacier;m.;false;Le glacier fond rapidement.;Gletscher;m.;Der Gletscher schmilzt schnell.
3;13;nom;viking;m.;false;Les Vikings ont voyagé en Europe.;Wikinger;m.;Die Wikinger reisten durch Europa.
3;14;verbe;s’installer;;;Les colons se sont installés près du fleuve.;sich niederlassen;;Die Siedler haben sich am Fluss niedergelassen.
3;15;nom;période glaciaire;f.;false;La période glaciaire a duré plusieurs millénaires.;Eiszeit;f.;Die Eiszeit dauerte mehrere Jahrtausende.
3;16;nom;marais;m.;false;Un marais s’étend derrière la forêt.;Sumpf;m.;Hinter dem Wald erstreckt sich ein Sumpf.
3;17;expression;entendre dire;;;J’ai entendu dire qu’il va neiger.;gehört haben, dass;;Ich habe gehört, dass es schneien wird.
3;18;nom;mer Baltique;f.;false;Nous passons nos vacances à la mer Baltique.;Ostsee;f.;Wir verbringen unsere Ferien an der Ostsee.
3;19;nom;chute de pierres;f.;false;Une chute de pierres a bloqué la route.;Steinschlag;m.;Ein Steinschlag hat die Straße blockiert.
3;20;nom;froid;m.;false;Le froid de l’hiver est intense.;Kälte;f.;Die Winterkälte ist heftig.
3;21;verbe;retenir un matériau;;;Ce mur retient bien le matériau isolant.;ein Material zurückhalten;;Diese Wand hält das Dämmmaterial gut zurück.
3;22;nom;fissure;f.;false;Une fissure est apparue dans le mur.;Riss;m.;Ein Riss ist in der Wand entstanden.
